id;name;description;price;image_url;rating;category_id
1;phew;../fake-data/blob/hipster.txt;16168.15;till because;0.47;1
2;noisily;../fake-data/blob/hipster.txt;24105.45;growing lighthearted;0.12;2
3;energetically;../fake-data/blob/hipster.txt;22200.28;in cloudy if;3.6;3
4;thoughtfully superior promise;../fake-data/blob/hipster.txt;8039.91;interviewer careless;3.44;4
5;accredit kosher;../fake-data/blob/hipster.txt;28932.44;winged surprisingly list;2.89;5
6;ownership well-to-do;../fake-data/blob/hipster.txt;9705.92;anti snappy CD;0.81;6
7;out gloss besmirch;../fake-data/blob/hipster.txt;10486.54;numb;1.04;7
8;off rightfully blah;../fake-data/blob/hipster.txt;7095.77;ponder gadzooks disconnection;2.5;8
9;until;../fake-data/blob/hipster.txt;13112.08;regarding;0.53;9
10;acceptable ack;../fake-data/blob/hipster.txt;13462.99;yuck verbally gullible;1.38;10
